Step 1,Step 2,Step 3,User Name,title,Bin Category,Quarter-Year,Week Number,Week Start Date,Week End Date,Count,capstone_name
/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,CM080257,Controller,Power User,2024Q2,Week 3,2024-04-15,2024-04-21,4,Cynthia Mckenzie
/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Inventory Analytics,/shared/Enterprise Analytics/_portal/Sales and GP,JW032624,ABC Branch Manager,Casual User,2023Q2,Week 6,2023-05-06,2023-05-12,4,Jennifer Walters
/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Sales and GP,MC014643,Controller,Power User,2023Q3,Week 7,2023-08-12,2023-08-18,4,Michael Cordova
/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics,GP069024,Director Enterprise Planning & Analysis,Power User,2023Q3,Week 2,2023-07-08,2023-07-14,4,Gregory Poole
/shared/Enterprise Analytics/Agents/Customer/Customer Direct Reports/Commercial Solutions/Commercial Solutions Monthly Report,/shared/Enterprise Analytics/Agents/Customer/Customer Direct Reports/Baker Roofing/Baker Roofing Report,/shared/Enterprise Analytics/Agents/Customer/Customer Direct Reports/Commercial Solutions/Commercial Solutions Monthly Report,KH021302,Enterprise Analytics Analyst,Power User,2023Q1,Week 1,2023-01-01,2023-01-07,4,Katherine Howard
/shared/Enterprise Analytics/_portal/Pricing Analytics,/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Pricing Analytics,GP069024,Director Enterprise Planning & Analysis,Power User,2023Q3,Week 7,2023-08-12,2023-08-18,4,Gregory Poole
/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Supplier Mix,/shared/Enterprise Analytics/_portal/Sales and GP,LT022003,ABC District Manager,Power User,2023Q4,Week 7,2023-11-12,2023-11-18,4,Lisa Thornton
/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics,EG069675,Director Steep Slope Roofing,Power User,2023Q4,Week 9,2023-11-26,2023-12-02,4,Eugene Gutierrez
/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics,/shared/Enterprise Analytics/_portal/Supplier Mix,/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics,BV059710,Merchandising Manager - Siding,Power User,2023Q4,Week 9,2023-11-26,2023-12-02,4,Brian Vincent
/shared/Enterprise Analytics/_portal/Supplier Mix,/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics,/shared/Enterprise Analytics/_portal/Supplier Mix,EG069675,Director Steep Slope Roofing,Power User,2023Q4,Week 10,2023-12-03,2023-12-09,4,Eugene Gutierrez
/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Supplier Mix,/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics,BV059710,Merchandising Manager - Siding,Power User,2023Q3,Week 3,2023-07-15,2023-07-21,4,Brian Vincent
/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Sales and GP,CM080257,Controller,Power User,2024Q2,Week 3,2024-04-15,2024-04-21,4,Cynthia Mckenzie
/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,EF021153,Administrative Assistant,Power User,2023Q4,Week 2,2023-10-08,2023-10-14,4,Eric Fernandez
/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Supplier Mix,/shared/Enterprise Analytics/_portal/Sales and GP,JB077854,Director of Research,Power User,2023Q4,Week 5,2023-10-29,2023-11-04,4,Jeffrey Butler
/shared/Enterprise Analytics/_portal/Supplier Mix,/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics,/shared/Enterprise Analytics/_portal/Supplier Mix,EG069675,Director Steep Slope Roofing,Power User,2024Q1,Week 7,2024-02-12,2024-02-18,4,Eugene Gutierrez
/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Supplier Analytics,/shared/Enterprise Analytics/_portal/Sales and GP,EM014604,Catalog MDSE Mgr.,Regular User,2023Q1,Week 3,2023-01-15,2023-01-21,4,Erik Mitchell
/shared/Enterprise Analytics/_portal/Pricing Analytics,/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Pricing Analytics,AW027996,ABC Branch Manager,Power User,2022Q4,Week 2,2022-10-08,2022-10-14,4,Anthony Wilson
/shared/Enterprise Analytics/_portal/Pricing Analytics,/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Pricing Analytics,GP069024,Director Enterprise Planning & Analysis,Power User,2023Q3,Week 11,2023-09-09,2023-09-15,4,Gregory Poole
/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,EG069675,Director Steep Slope Roofing,Power User,2023Q4,Week 9,2023-11-26,2023-12-02,4,Eugene Gutierrez
/shared/Enterprise Analytics/Merchandising/Product Hierarchy/Merchandising Product Hierarchy,/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/Merchandising/Product Hierarchy/Merchandising Product Hierarchy,AB003470,ABC Branch Manager,Regular User,2024Q1,Week 3,2024-01-15,2024-01-21,4,Amanda Brock
/shared/Enterprise Analytics/_portal/Pricing Analytics,/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Pricing Analytics,CG057266,ABC Branch Manager,Power User,2023Q2,Week 13,2023-06-24,2023-06-30,4,Christopher Grant
/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics,/shared/Enterprise Analytics/_portal/Supplier Mix,/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics,BV059710,Merchandising Manager - Siding,Power User,2024Q1,Week 10,2024-03-04,2024-03-10,4,Brian Vincent
/shared/Enterprise Analytics/_portal/Pricing Analytics,/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Pricing Analytics,CG057266,ABC Branch Manager,Power User,2023Q3,Week 10,2023-09-02,2023-09-08,4,Christopher Grant
/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics,/shared/Enterprise Analytics/_portal/Supplier Mix,/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics,EG069675,Director Steep Slope Roofing,Power User,2023Q2,Week 5,2023-04-29,2023-05-05,4,Eugene Gutierrez
/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Pricing Analytics,/shared/Enterprise Analytics/_portal/Sales and GP,TF009582,ABC Branch Manager,Power User,2022Q4,Week 2,2022-10-08,2022-10-14,4,Tommy Flores
/shared/Enterprise Analytics/_portal/Pricing Analytics,/shared/Enterprise Analytics/_portal/Supplier Mix,/shared/Enterprise Analytics/_portal/Pricing Analytics,JB077854,Director of Research,Power User,2024Q1,Week 11,2024-03-11,2024-03-17,4,Jeffrey Butler
/shared/Enterprise Analytics/_portal/Supplier Mix,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Supplier Mix,EG069675,Director Steep Slope Roofing,Power User,2024Q4,Week 6,2024-11-05,2024-11-11,4,Eugene Gutierrez
/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Pricing Analytics,/shared/Enterprise Analytics/_portal/Sales and GP,MS021706,Vice President SW Region,Power User,2024Q4,Week 6,2024-11-05,2024-11-11,4,Melissa Singh
/shared/Enterprise Analytics/_portal/Supplier Mix,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Supplier Mix,EG069675,Director Steep Slope Roofing,Power User,2024Q4,Week 8,2024-11-19,2024-11-25,4,Eugene Gutierrez
/shared/Enterprise Analytics/_portal/Supplier Analytics,/shared/Enterprise Analytics/_portal/Supplier Mix,/shared/Enterprise Analytics/_portal/Supplier Analytics,EG069675,Director Steep Slope Roofing,Power User,2022Q4,Week 6,2022-11-05,2022-11-11,4,Eugene Gutierrez
/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Pricing Analytics,/shared/Enterprise Analytics/_portal/Sales and GP,JH060804,ABC Branch Manager,Power User,2023Q3,Week 2,2023-07-08,2023-07-14,4,James Hammond
/shared/Enterprise Analytics/_portal/Pricing Analytics,/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Pricing Analytics,JH060804,ABC Branch Manager,Power User,2023Q1,Week 13,2023-03-26,2023-04-01,4,James Hammond
/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Regional Analytics/Northeast Region/Region Share/Level 4 Inventory Finder/Level 4 Inventory Finder,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,CL085848,Business Analyst,Power User,2023Q2,Week 6,2023-05-06,2023-05-12,4,Christine Lyons
/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Net Net Average Recovery,/shared/Enterprise Analytics/_portal/Sales and GP,AM026049,ABC District Manager,Power User,2024Q4,Week 4,2024-10-22,2024-10-28,4,Allison Miles
/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Pricing Analytics,/shared/Enterprise Analytics/_portal/Sales and GP,JH060804,ABC Branch Manager,Power User,2023Q2,Week 3,2023-04-15,2023-04-21,4,James Hammond
/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,GP069024,Director Enterprise Planning & Analysis,Power User,2023Q2,Week 7,2023-05-13,2023-05-19,4,Gregory Poole
/shared/Enterprise Analytics/_portal/Pricing Analytics,/shared/Enterprise Analytics/_portal/Average Sell Price,/shared/Enterprise Analytics/_portal/Pricing Analytics,GW060425,NSC IT Senior BI Engineer,Power User,2024Q2,Week 2,2024-04-08,2024-04-14,4,George White
/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics,/shared/Enterprise Analytics/_portal/Supplier Mix,/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics,EG069675,Director Steep Slope Roofing,Power User,2023Q4,Week 2,2023-10-08,2023-10-14,4,Eugene Gutierrez
/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Sales and GP,GP069024,Director Enterprise Planning & Analysis,Power User,2023Q2,Week 2,2023-04-08,2023-04-14,4,Gregory Poole
/shared/Enterprise Analytics/_portal/Pricing Analytics,/shared/Enterprise Analytics/_portal/Supplier Mix,/shared/Enterprise Analytics/_portal/Pricing Analytics,EG069675,Director Steep Slope Roofing,Power User,2023Q2,Week 4,2023-04-22,2023-04-28,4,Eugene Gutierrez
/shared/Enterprise Analytics/Treasury Inventory/Detail/Treasury Inventory Details,/shared/Enterprise Analytics/Treasury Inventory/Summary/Treasury Inventory Summary,/shared/Enterprise Analytics/Treasury Inventory/Detail/Treasury Inventory Details,AW052042,Product Owner,Power User,2024Q2,Week 7,2024-05-13,2024-05-19,4,Andrea Weber
/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Pricing Analytics,/shared/Enterprise Analytics/_portal/Sales and GP,JH060804,ABC Branch Manager,Power User,2023Q2,Week 2,2023-04-08,2023-04-14,4,James Hammond
/shared/Enterprise Analytics/_portal/Supplier Analytics,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Supplier Analytics,EG069675,Director Steep Slope Roofing,Power User,2022Q3,Week 9,2022-08-26,2022-09-01,4,Eugene Gutierrez
/shared/Enterprise Analytics/_portal/Pricing Analytics,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Sales and GP,MC014643,Controller,Power User,2023Q2,Week 6,2023-05-06,2023-05-12,4,Michael Cordova
/shared/Enterprise Analytics/_portal/Inventory Analytics,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Inventory Analytics,CM080257,Controller,Power User,2024Q4,Week 3,2024-10-15,2024-10-21,4,Cynthia Mckenzie
/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics,/shared/Enterprise Analytics/Merchandising/Product Hierarchy/Merchandising Product Hierarchy,/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics,LG026153,NSC Vendor Relations Specialist,Casual User,2024Q4,Week 6,2024-11-05,2024-11-11,4,Larry Glenn
/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,SF020889,ABC District Manager,Power User,2023Q4,Week 3,2023-10-15,2023-10-21,4,Stephanie Foster
/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,NB003906,"Business Manager - Steep Slope, Low Slope, Solar",Power User,2022Q3,Week 9,2022-08-26,2022-09-01,4,Nicholas Blackburn
/shared/Enterprise Analytics/_portal/Quarterly Regional Briefing,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Quarterly Regional Briefing,KB002230,Business Manager - All Products,Power User,2023Q4,Week 3,2023-10-15,2023-10-21,4,Kevin Bass
/shared/Enterprise Analytics/_portal/Supplier Mix,/shared/Enterprise Analytics/_portal/Pricing Analytics,/shared/Enterprise Analytics/_portal/Supplier Mix,JB077854,Director of Research,Power User,2023Q3,Week 6,2023-08-05,2023-08-11,4,Jeffrey Butler
/shared/Enterprise Analytics/_portal/Inventory Analytics,/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Inventory Analytics,DO025801,ABC District Manager,Power User,2022Q4,Week 5,2022-10-29,2022-11-04,4,Dawn Osborne MD
/shared/Enterprise Analytics/_portal/Pricing Analytics,/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,MC014643,Controller,Power User,2023Q2,Week 6,2023-05-06,2023-05-12,4,Michael Cordova
/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics,/shared/Enterprise Analytics/_portal/Supplier Mix,/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics,EG069675,Director Steep Slope Roofing,Power User,2024Q1,Week 7,2024-02-12,2024-02-18,4,Eugene Gutierrez
/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics,EF021153,Administrative Assistant,Power User,2023Q4,Week 2,2023-10-08,2023-10-14,4,Eric Fernandez
/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Pricing Analytics,/shared/Enterprise Analytics/_portal/Sales and GP,JB077854,Director of Research,Power User,2023Q2,Week 3,2023-04-15,2023-04-21,4,Jeffrey Butler
/shared/Enterprise Analytics/_portal/Supplier Mix,/shared/Enterprise Analytics/_portal/Pricing Analytics,/shared/Enterprise Analytics/_portal/Supplier Mix,JB077854,Director of Research,Power User,2024Q1,Week 11,2024-03-11,2024-03-17,4,Jeffrey Butler
/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Regional Analytics/Northeast Region/Branch Share/All NE Branches/Square Sales by Customer - Asphalt Shingles,/shared/Regional Analytics/Northeast Region/Branch Share/All NE Branches/Square Sales by Customer - Vinyl Siding,JB026193,ABC Branch Manager,Power User,2023Q2,Week 6,2023-05-06,2023-05-12,4,James Brock
/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics,/shared/Enterprise Analytics/_portal/Supplier Mix,/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics,EG069675,Director Steep Slope Roofing,Power User,2024Q2,Week 5,2024-04-29,2024-05-05,4,Eugene Gutierrez
/shared/Enterprise Analytics/_portal/Supplier Mix,/shared/Enterprise Analytics/_portal/Pricing Analytics,/shared/Enterprise Analytics/_portal/Supplier Mix,JB077854,Director of Research,Power User,2024Q2,Week 4,2024-04-22,2024-04-28,4,Jeffrey Butler
/shared/Enterprise Analytics/_portal/Supplier Mix,/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,EG069675,Director Steep Slope Roofing,Power User,2023Q4,Week 4,2023-10-22,2023-10-28,4,Eugene Gutierrez
/shared/Enterprise Analytics/_portal/Supplier Mix,/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Supplier Mix,JB077854,Director of Research,Power User,2023Q4,Week 5,2023-10-29,2023-11-04,4,Jeffrey Butler
/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Supplier Analytics,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,PA020877,ABC District Manager,Power User,2023Q1,Week 1,2023-01-01,2023-01-07,4,Peter Alvarez
/shared/Enterprise Analytics/_portal/Supplier Mix,/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Supplier Mix,LT022003,ABC District Manager,Power User,2024Q2,Week 4,2024-04-22,2024-04-28,4,Lisa Thornton
/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,TF021018,Vice President SE Region,Power User,2023Q4,Week 10,2023-12-03,2023-12-09,4,Tyrone Fleming
/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Pricing Analytics,/shared/Enterprise Analytics/_portal/Sales and GP,GP069024,Director Enterprise Planning & Analysis,Power User,2023Q3,Week 7,2023-08-12,2023-08-18,4,Gregory Poole
/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,JS202105,Controller,Power User,2024Q4,Week 5,2024-10-29,2024-11-04,4,John Santos
/shared/Enterprise Analytics/_portal/Inventory Analytics,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Sales and GP,MC014643,Controller,Power User,2023Q3,Week 7,2023-08-12,2023-08-18,4,Michael Cordova
/shared/Enterprise Analytics/_portal/Inventory Analytics,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Inventory Analytics,MC014643,Controller,Power User,2023Q3,Week 7,2023-08-12,2023-08-18,4,Michael Cordova
/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Pricing Analytics,/shared/Enterprise Analytics/_portal/Sales and GP,MC014643,Controller,Power User,2023Q2,Week 6,2023-05-06,2023-05-12,4,Michael Cordova
/shared/Enterprise Analytics/_portal/Supplier Mix,/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Supplier Mix,MS021706,Vice President SW Region,Power User,2024Q2,Week 12,2024-06-17,2024-06-23,4,Melissa Singh
/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Supplier Mix,/shared/Enterprise Analytics/_portal/Sales and GP,MS021706,Vice President SW Region,Power User,2024Q2,Week 12,2024-06-17,2024-06-23,4,Melissa Singh
/shared/Enterprise Analytics/_portal/Pricing Analytics,/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Pricing Analytics,JH060804,ABC Branch Manager,Power User,2023Q2,Week 1,2023-04-01,2023-04-07,4,James Hammond
/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Supplier Mix,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,EG069675,Director Steep Slope Roofing,Power User,2024Q4,Week 6,2024-11-05,2024-11-11,4,Eugene Gutierrez
/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,ND059680,Controller,Power User,2023Q2,Week 2,2023-04-08,2023-04-14,4,Nicole Davis
/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Supplier Mix,/shared/Enterprise Analytics/_portal/Sales and GP,MS021706,Vice President SW Region,Power User,2023Q4,Week 3,2023-10-15,2023-10-21,4,Melissa Singh
/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Pricing Analytics,/shared/Enterprise Analytics/_portal/Sales and GP,GP069024,Director Enterprise Planning & Analysis,Power User,2023Q2,Week 11,2023-06-10,2023-06-16,4,Gregory Poole
/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics,/shared/Enterprise Analytics/_portal/Supplier Mix,/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics,BV059710,Merchandising Manager - Siding,Power User,2024Q1,Week 9,2024-02-26,2024-03-03,4,Brian Vincent
/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Pricing Analytics,/shared/Enterprise Analytics/_portal/Sales and GP,GP069024,Director Enterprise Planning & Analysis,Power User,2023Q1,Week 6,2023-02-05,2023-02-11,4,Gregory Poole
/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Pricing Analytics,/shared/Enterprise Analytics/_portal/Sales and GP,GP069024,Director Enterprise Planning & Analysis,Power User,2022Q4,Week 7,2022-11-12,2022-11-18,4,Gregory Poole
/shared/Enterprise Analytics/_portal/Supplier Analytics,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Supplier Analytics,EG069675,Director Steep Slope Roofing,Power User,2022Q4,Week 6,2022-11-05,2022-11-11,4,Eugene Gutierrez
/shared/Enterprise Analytics/_portal/Supplier Mix,/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Supplier Mix,TB002497,ABC District Manager,Power User,2023Q4,Week 7,2023-11-12,2023-11-18,4,Trevor Bright
/shared/National Accounts Analytics/National Accounts Sales & GP Dashboard/National Accounts Sales & GP Dashboard,/shared/Enterprise Analytics/National Accounts/National Accounts Sales Pivots/National Accounts Sales,/shared/National Accounts Analytics/National Accounts Sales & GP Dashboard/National Accounts Sales & GP Dashboard,LW008607,Director of National Accounts,Power User,2024Q1,Week 10,2024-03-04,2024-03-10,4,Leslie Wright
/shared/Regional Analytics/Northeast Region/Branch Share/All NE Branches/Square Sales by Customer - Asphalt Shingles,/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Regional Analytics/Northeast Region/Branch Share/All NE Branches/Square Sales by Customer - Asphalt Shingles,KC005395,ABC District Manager,Power User,2022Q4,Week 3,2022-10-15,2022-10-21,4,Karl Carson Jr.
/shared/Enterprise Analytics/_portal/Pricing Analytics,/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Pricing Analytics,AS035873,ABC Branch Manager,Power User,2024Q4,Week 12,2024-12-17,2024-12-23,4,Andrew Smith
/shared/Enterprise Analytics/_portal/Pricing Analytics,/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Pricing Analytics,CG057266,ABC Branch Manager,Power User,2023Q2,Week 5,2023-04-29,2023-05-05,4,Christopher Grant
/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,PJ035906,Regional Business Manager,Power User,2023Q3,Week 2,2023-07-08,2023-07-14,4,Patricia Jackson
/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,AM026049,ABC District Manager,Power User,2024Q2,Week 12,2024-06-17,2024-06-23,4,Allison Miles
/shared/Enterprise Analytics/_portal/Pricing Analytics,/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Pricing Analytics,JB077854,Director of Research,Power User,2024Q2,Week 5,2024-04-29,2024-05-05,4,Jeffrey Butler
/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics,/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics,BV059710,Merchandising Manager - Siding,Power User,2024Q4,Week 6,2024-11-05,2024-11-11,4,Brian Vincent
/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Pricing Analytics,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,MC014643,Controller,Power User,2023Q2,Week 6,2023-05-06,2023-05-12,4,Michael Cordova
/shared/Enterprise Analytics/_portal/Pricing Analytics,/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Pricing Analytics,CG057266,ABC Branch Manager,Power User,2024Q1,Week 12,2024-03-18,2024-03-24,4,Christopher Grant
/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Pricing Analytics,/shared/Enterprise Analytics/_portal/Sales and GP,CG057266,ABC Branch Manager,Power User,2022Q2,Week 13,2022-06-24,2022-06-30,4,Christopher Grant
/shared/Enterprise Analytics/_portal/Inventory Analytics,/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Inventory Analytics,RR010480,T&C Director,Regular User,2023Q1,Week 7,2023-02-12,2023-02-18,4,Ryan Rodriguez
/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Pricing Analytics,/shared/Enterprise Analytics/_portal/Sales and GP,CM080257,Controller,Power User,2024Q2,Week 10,2024-06-03,2024-06-09,4,Cynthia Mckenzie
/shared/Enterprise Analytics/_portal/Pricing Analytics,/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Pricing Analytics,AM026049,ABC District Manager,Power User,2023Q2,Week 2,2023-04-08,2023-04-14,4,Allison Miles
/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics,/shared/Enterprise Analytics/_portal/Supplier Mix,/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics,BV059710,Merchandising Manager - Siding,Power User,2024Q2,Week 1,2024-04-01,2024-04-07,4,Brian Vincent
/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Sales and GP,GP069024,Director Enterprise Planning & Analysis,Power User,2024Q2,Week 2,2024-04-08,2024-04-14,4,Gregory Poole
/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Pricing Analytics,/shared/Enterprise Analytics/_portal/Sales and GP,CG057266,ABC Branch Manager,Power User,2024Q2,Week 5,2024-04-29,2024-05-05,4,Christopher Grant
/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Pricing Analytics,/shared/Enterprise Analytics/_portal/Sales and GP,CG057266,ABC Branch Manager,Power User,2024Q2,Week 4,2024-04-22,2024-04-28,4,Christopher Grant
